ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT2G04350,Candidate,"[8, 3]",11,11,0,0.8821041112370339,0.02902369644463195,0.9408987493799065,0.8412624857569732
AT2G04360,Candidate,"[8, 5]",13,13,0,0.8851867942516427,0.031120218608138954,0.9336649397131643,0.8409311962382942
AT2G04378,Candidate,"[3, 7]",10,9,1,0.8794606502742466,0.022873199692800102,0.917968641091385,0.8478527645352215
AT2G04380,Candidate,"[1, 0]",1,0,1,0.8460757059109718,0.0,0.8460757059109718,0.8460757059109718
AT2G04390,Candidate,"[13, 16]",29,23,6,0.9016496802583064,0.04075032713409282,0.9910401633133652,0.8446080056175803
AT2G04400,Candidate,"[9, 10]",19,18,1,0.8866308115695872,0.03959099423088805,0.9613389011328397,0.8428864361766373
AT2G04410,Candidate,"[1, 2]",3,3,0,0.9083673766388299,0.04016455943460909,0.9445983786220461,0.8523668703900821
AT2G04430,Candidate,"[2, 3]",5,5,0,0.8839908160412839,0.030547420562324658,0.926178526696335,0.8564219265996829
AT2G04520,Candidate,"[0, 1]",1,1,0,0.8718535539775571,0.0,0.8718535539775571,0.8718535539775571
AT2G04530,Candidate,"[8, 10]",18,16,2,0.8938624023941978,0.029223355986045592,0.9458693605376245,0.8468902493190059
AT2G04540,Candidate,"[2, 1]",3,3,0,0.8617585139450941,0.016264985675649404,0.879293416310497,0.8400984277400063
AT2G04550,Candidate,"[2, 0]",2,2,0,0.8779734959374798,0.007884264550757858,0.8858577604882376,0.8700892313867219
AT2G04560,Candidate,"[8, 6]",14,14,0,0.8803173302372796,0.0295563340463448,0.9503236521763675,0.8470743064408126
AT2G04630,Candidate,"[6, 8]",14,14,0,0.8758634912202016,0.027897460407877987,0.9342393556433359,0.8459831606393075
AT2G04650,Candidate,"[1, 0]",1,1,0,0.865242153545389,0.0,0.865242153545389,0.865242153545389
AT2G04660,Candidate,"[6, 12]",18,17,1,0.8886985069742053,0.031107107090625925,0.9289160398369743,0.8421852344665993
