ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT3G07020	14	10	5	3	0.04764492390552605	0.05505882874181721	0.06671668358998505	AT1G03790,AT1G15100,AT1G66350,AT2G20180,AT2G27300,AT2G28350,AT2G40220,AT2G43790,AT2G46830,AT3G11540,AT4G11110,AT4G36930,AT5G37260,AT5G46790
AT2G41490	14	10	5	3	0.04799940558636856	0.059787551060248335	0.0686807552570602	AT1G66350,AT2G01570,AT2G26040,AT2G27300,AT2G40220,AT2G44950,AT3G24650,AT3G51770,AT3G51880,AT4G17870,AT4G25700,AT4G26070,AT5G05440,AT5G53160
AT1G04600	14	10	5	3	0.050716041028799924	0.05842838972173333	0.06666250042887147	AT1G52340,AT1G66350,AT2G26040,AT2G28350,AT2G33610,AT2G36270,AT2G40220,AT2G40330,AT3G11540,AT3G63520,AT4G18620,AT5G06100,AT5G08620,AT5G37260
AT2G39270	14	10	4	4	0.026320768324426713	0.05439865934708445	0.06716479101196188	AT1G03790,AT1G14920,AT1G31970,AT1G78390,AT2G26040,AT2G28350,AT2G43790,AT3G03450,AT3G50500,AT4G17870,AT5G05440,AT5G45860,AT5G53160,AT5G60410
AT5G48600	14	10	4	4	0.04374146211639154	0.05608038168696084	0.0663906731363891	AT1G15100,AT1G31970,AT1G52340,AT2G26040,AT2G38310,AT2G44950,AT3G24220,AT3G50500,AT3G51770,AT5G20960,AT5G45830,AT5G53160,AT5G57390,AT5G67030
AT4G33650	14	9	4	4	0.017871664402237388	0.051458178103386244	0.06806909408142663	AT1G14920,AT1G27320,AT1G48270,AT2G26040,AT2G44950,AT3G24220,AT3G63520,AT4G17870,AT4G26070,AT4G36930,AT5G45830,AT5G45860,AT5G57390,AT5G67030
AT1G75660	14	9	4	4	0.01947173536456666	0.0472845662576909	0.06364624252707726	AT1G15100,AT1G31970,AT1G48270,AT2G01570,AT2G01830,AT2G20180,AT2G28350,AT2G38310,AT2G40330,AT3G62090,AT4G17870,AT4G26070,AT5G17490,AT5G60410
AT5G19300	14	9	4	4	0.020475667021852776	0.056099874450619425	0.06829841647090654	AT1G66350,AT2G01570,AT2G27300,AT2G36270,AT2G40330,AT2G46830,AT3G04870,AT3G24220,AT3G50500,AT3G51770,AT3G63520,AT5G06100,AT5G20960,AT5G60410
AT5G63620	14	9	4	4	0.021687745588450172	0.050648260578471084	0.06475905242921098	AT1G14920,AT1G66350,AT2G04240,AT2G33610,AT2G46830,AT3G03450,AT3G04870,AT3G63520,AT4G01026,AT4G11110,AT4G17870,AT4G33950,AT5G35750,AT5G37260
AT3G09560	14	9	4	4	0.024453108004712298	0.05145853359624704	0.06596772990164389	AT1G01360,AT1G16540,AT1G31970,AT1G78390,AT2G26040,AT3G20770,AT3G50500,AT3G51880,AT4G09570,AT4G11110,AT5G05440,AT5G46790,AT5G53160,AT5G60410
AT1G64520	14	9	4	4	0.03556485459267594	0.055315602925469616	0.06820694867075469	AT1G01060,AT1G48270,AT1G78390,AT2G38310,AT3G03450,AT3G04870,AT3G11540,AT3G62090,AT4G09570,AT5G05440,AT5G06100,AT5G17490,AT5G20960,AT5G35750
AT5G64970	14	9	4	4	0.03612037415353287	0.05773785544971414	0.06810188272086562	AT1G01360,AT1G14920,AT1G15100,AT2G27300,AT2G33610,AT2G40330,AT3G04870,AT3G20770,AT3G51770,AT4G01026,AT4G11110,AT4G18620,AT5G45860,AT5G53160
AT4G10590	14	9	4	4	0.03797853252792077	0.05813413384204834	0.06809330133632105	AT1G03790,AT1G31970,AT1G52340,AT1G66350,AT2G38310,AT2G44950,AT3G20770,AT3G63520,AT4G18620,AT4G36930,AT5G05440,AT5G35750,AT5G45860,AT5G60410
AT3G09430	14	9	4	4	0.03980413565656323	0.05829107689386652	0.06875074442706686	AT1G01360,AT2G01570,AT2G33610,AT2G40220,AT2G40330,AT3G04870,AT3G20770,AT3G24220,AT4G09570,AT5G08620,AT5G20960,AT5G45830,AT5G45860,AT5G57390
AT1G67880	14	9	4	4	0.044374484366338375	0.054785814229452716	0.06834328980845841	AT1G14920,AT1G52340,AT1G78390,AT2G33610,AT2G40330,AT2G46830,AT3G03450,AT3G50500,AT3G51770,AT4G26070,AT4G36930,AT5G45860,AT5G53160,AT5G67030
AT1G16916	14	9	4	4	0.04564157696420731	0.05625525035452343	0.06708134102828182	AT1G01360,AT1G16540,AT1G52340,AT2G01570,AT2G01830,AT2G20180,AT3G03450,AT3G50500,AT5G08620,AT5G17490,AT5G46790,AT5G53160,AT5G63320,AT5G66880
AT1G17580	14	8	4	3	0.022011878270724983	0.052828279532437565	0.06619420050333269	AT1G01060,AT1G15100,AT1G66350,AT2G01830,AT2G28350,AT2G33610,AT2G36270,AT2G38310,AT2G43790,AT3G20770,AT4G11110,AT4G33950,AT5G57390,AT5G66880
AT4G30790	14	8	4	3	0.02289263103520105	0.04837028368567182	0.06699690616751675	AT1G01360,AT1G15100,AT1G48270,AT2G01570,AT2G27300,AT2G40220,AT2G46830,AT3G50500,AT4G09570,AT4G11110,AT4G26070,AT4G33950,AT5G46790,AT5G63320
AT5G06420	14	8	4	3	0.023949381723053963	0.04981867752952661	0.06578206929244644	AT1G01360,AT1G52340,AT1G66350,AT2G04240,AT2G26040,AT2G32460,AT2G40220,AT2G40330,AT2G43790,AT3G03450,AT3G51770,AT5G45860,AT5G46790,AT5G60410
AT5G48150	14	8	4	3	0.024120231497118113	0.05183652278382849	0.06756120378755748	AT1G31970,AT2G01570,AT2G26040,AT2G28350,AT2G32460,AT2G36270,AT3G24650,AT3G51880,AT3G63520,AT4G17870,AT4G18620,AT5G17490,AT5G45860,AT5G67030
AT5G40740	14	8	4	3	0.024605028210740267	0.0496764635490855	0.06664961049129613	AT1G01060,AT1G16540,AT2G20180,AT2G32460,AT2G40330,AT3G03450,AT3G20770,AT3G24650,AT4G26070,AT4G36930,AT5G17490,AT5G35750,AT5G37260,AT5G57390
AT2G26890	14	8	4	3	0.025036929367947502	0.050507669083355675	0.06801639523220922	AT1G01060,AT1G27320,AT2G04240,AT2G20180,AT2G26040,AT2G40220,AT2G44950,AT3G11540,AT3G62090,AT3G63520,AT4G11110,AT4G25700,AT5G37260,AT5G66880
AT3G46100	14	8	4	3	0.025469014204852463	0.04913642216445434	0.06679950364659708	AT1G01060,AT1G48270,AT1G52340,AT2G26040,AT2G33610,AT2G40220,AT3G11540,AT3G51770,AT4G26070,AT5G08620,AT5G37260,AT5G45860,AT5G53160,AT5G67030
AT3G07170	14	8	4	3	0.026649995126948905	0.05078909804216195	0.0691072445510024	AT1G01060,AT1G01360,AT2G01570,AT2G01830,AT2G38310,AT2G40220,AT2G40330,AT3G24220,AT3G24650,AT3G51770,AT3G63520,AT5G35750,AT5G45860,AT5G57390
AT4G19350	14	8	4	3	0.026783151921312153	0.04828759296097836	0.06464856276264293	AT1G15100,AT1G16540,AT2G01570,AT2G01830,AT2G27300,AT2G36270,AT2G38310,AT3G24220,AT3G63520,AT4G18620,AT4G26070,AT5G05440,AT5G08620,AT5G53160
AT2G43760	14	8	4	3	0.02776263071193487	0.05219022913936643	0.06738288106069751	AT1G01360,AT1G03790,AT1G14920,AT1G52340,AT1G66350,AT2G01570,AT2G44950,AT3G20770,AT3G24650,AT3G63520,AT4G36930,AT5G06100,AT5G53160,AT5G63320
AT2G40810	14	8	4	3	0.028590252453818972	0.056109517729329726	0.06744372922352379	AT1G01060,AT1G16540,AT1G31970,AT1G48270,AT1G66350,AT2G28350,AT2G36270,AT2G40220,AT2G46830,AT3G51880,AT4G09570,AT4G26070,AT4G33950,AT5G53160
AT1G19220	14	8	4	3	0.028828638010601832	0.05085584385148972	0.06860903119727138	AT1G03790,AT1G16540,AT1G31970,AT1G66350,AT2G26040,AT2G38310,AT3G24220,AT3G63520,AT5G06100,AT5G37260,AT5G45830,AT5G52570,AT5G53160,AT5G63320
AT3G63400	14	8	4	3	0.028932359217517526	0.050046481288014415	0.0683133760520362	AT1G15100,AT1G27320,AT1G52340,AT2G01570,AT2G01830,AT2G20180,AT2G28350,AT3G20770,AT4G18620,AT4G26070,AT5G20960,AT5G46790,AT5G63320,AT5G67030
AT4G10920	14	8	4	3	0.02923145896329479	0.04987593271632677	0.06620299103486849	AT1G31970,AT1G52340,AT2G01570,AT2G04240,AT2G38310,AT2G40330,AT2G43790,AT3G24220,AT3G62090,AT3G63520,AT4G17870,AT4G33950,AT5G06100,AT5G46790
AT3G07590	14	8	4	3	0.02923390365885989	0.051496263998688604	0.06793152975689282	AT1G01060,AT1G52340,AT2G26040,AT2G28350,AT2G38310,AT2G40220,AT2G40330,AT4G11110,AT4G17870,AT4G33950,AT5G17490,AT5G45860,AT5G52570,AT5G63320
AT2G30330	14	8	4	3	0.030038648209216312	0.05583915353384467	0.06822074119874669	AT1G03790,AT1G14920,AT1G16540,AT1G27320,AT2G01570,AT2G01830,AT3G51880,AT3G62090,AT4G17870,AT4G36930,AT5G37260,AT5G45860,AT5G52570,AT5G53160
AT1G30640	14	8	4	3	0.030042527059436618	0.054608250133289446	0.06761569626716069	AT1G16540,AT1G27320,AT2G04240,AT2G20180,AT2G27300,AT2G28350,AT2G33610,AT2G38310,AT2G40220,AT3G04870,AT3G63520,AT4G26070,AT5G45860,AT5G60410
AT2G25710	14	8	4	3	0.03033150701361899	0.05378606226927202	0.06710004311142341	AT1G01060,AT1G27320,AT1G66350,AT2G01570,AT2G27300,AT2G32460,AT2G40220,AT2G40330,AT4G17870,AT4G25700,AT4G36930,AT5G08620,AT5G46790,AT5G57390
AT1G04510	14	8	4	3	0.031099279066355876	0.05073451577005742	0.06631787664635436	AT2G01570,AT2G27300,AT2G32460,AT2G40220,AT2G43790,AT2G44950,AT3G24220,AT3G62090,AT3G63520,AT4G09570,AT4G36930,AT5G35750,AT5G52570,AT5G66880
AT3G01435	14	8	4	3	0.0312799402846846	0.05239309849920155	0.06588739836850734	AT1G03790,AT1G15100,AT1G66350,AT1G78390,AT2G01570,AT2G26040,AT2G27300,AT2G28350,AT2G33610,AT2G43790,AT5G08620,AT5G45830,AT5G60410,AT5G63320
AT5G14620	14	8	4	3	0.03134448883852519	0.048733902555279505	0.062065298455825105	AT1G15100,AT1G48270,AT1G78390,AT2G26040,AT2G32460,AT2G33610,AT2G38310,AT3G50500,AT3G51770,AT4G18620,AT4G36930,AT5G37260,AT5G45860,AT5G66880
